id,v_type,k,v
247966071,<type 'str'>,created_by,JOSM
247966072,<type 'str'>,created_by,JOSM
247966073,<type 'str'>,created_by,JOSM
247966074,<type 'str'>,created_by,JOSM
247966076,<type 'str'>,created_by,JOSM
247966084,<type 'str'>,created_by,JOSM
247966086,<type 'str'>,created_by,JOSM
247966088,<type 'str'>,created_by,JOSM
247966145,<type 'str'>,created_by,JOSM
247966147,<type 'str'>,created_by,JOSM
247966148,<type 'str'>,created_by,JOSM
247966153,<type 'str'>,created_by,JOSM
247966154,<type 'str'>,created_by,JOSM
247966188,<type 'str'>,created_by,JOSM
247966224,<type 'str'>,created_by,JOSM
247966309,<type 'str'>,created_by,JOSM
247966310,<type 'str'>,created_by,JOSM
247966344,<type 'str'>,created_by,JOSM
247966346,<type 'str'>,created_by,JOSM
247966479,<type 'str'>,created_by,Potlatch 0.7b
247966479,<type 'str'>,leisure,park
247966744,<type 'str'>,created_by,JOSM
247966749,<type 'str'>,created_by,JOSM
247966752,<type 'str'>,created_by,JOSM
247966757,<type 'str'>,created_by,JOSM
247966760,<type 'str'>,created_by,JOSM
247966762,<type 'str'>,created_by,JOSM
247966765,<type 'str'>,created_by,JOSM
247966767,<type 'str'>,created_by,JOSM
247966774,<type 'str'>,created_by,JOSM
247966797,<type 'str'>,created_by,JOSM
247966804,<type 'str'>,created_by,JOSM
247966855,<type 'str'>,amenity,school
247967283,<type 'str'>,created_by,JOSM
247967847,<type 'str'>,created_by,JOSM
247967849,<type 'str'>,created_by,JOSM
247967856,<type 'str'>,created_by,JOSM
247967861,<type 'str'>,created_by,JOSM
247968089,<type 'str'>,created_by,JOSM
247968091,<type 'str'>,created_by,JOSM
247968093,<type 'str'>,created_by,JOSM
247968096,<type 'str'>,created_by,JOSM
247968098,<type 'str'>,created_by,JOSM
247968101,<type 'str'>,created_by,JOSM
247968559,<type 'str'>,created_by,JOSM
247968561,<type 'str'>,created_by,JOSM
247968564,<type 'str'>,created_by,JOSM
247968566,<type 'str'>,created_by,JOSM
247968576,<type 'str'>,created_by,JOSM
247968578,<type 'str'>,created_by,JOSM
247968584,<type 'str'>,created_by,JOSM
247968591,<type 'str'>,created_by,JOSM
247968594,<type 'str'>,created_by,JOSM
247968596,<type 'str'>,created_by,JOSM
247968599,<type 'str'>,created_by,JOSM
247968602,<type 'str'>,created_by,JOSM
247968984,<type 'str'>,created_by,JOSM
247969006,<type 'str'>,created_by,JOSM
247969013,<type 'str'>,created_by,JOSM
247969188,<type 'str'>,created_by,JOSM
247970735,<type 'str'>,created_by,JOSM
247970737,<type 'str'>,created_by,JOSM
247970740,<type 'str'>,created_by,JOSM
247970742,<type 'str'>,created_by,JOSM
247972974,<type 'str'>,highway,traffic_signals
247973063,<type 'str'>,created_by,JOSM
247973074,<type 'str'>,created_by,JOSM
247973081,<type 'str'>,created_by,JOSM
247973084,<type 'str'>,created_by,JOSM
247973086,<type 'str'>,created_by,JOSM
247973102,<type 'str'>,created_by,JOSM
247973288,<type 'str'>,addr:street,Bannerghatta Road
247973288,<type 'str'>,amenity,restaurant
247973288,<type 'str'>,name,Snack Corner
247973578,<type 'str'>,tourism,hostel
247974102,<type 'str'>,amenity,fast_food
247974102,<type 'str'>,created_by,JOSM
247974102,<type 'str'>,name,Athicas Canteen
247974238,<type 'str'>,amenity,cafe
247974238,<type 'str'>,created_by,JOSM
247974238,<type 'str'>,name,Chai-Unchai
